지역,날짜,날씨,최저온도,최고온도
충주,2022-07-04 00:00,흐림,23,31
충주,2022-07-04 12:00,흐리고 비,23,31
충주,2022-07-05 00:00,흐림,23,30
충주,2022-07-05 12:00,흐리고 비,23,30
충주,2022-07-06 00:00,흐리고 비,23,31
충주,2022-07-06 12:00,흐리고 비,23,31
충주,2022-07-07 00:00,흐리고 비,23,30
충주,2022-07-08 00:00,흐리고 비,23,30
충주,2022-07-09 00:00,흐림,23,31
영동,2022-07-02 00:00,구름많음,22,33
영동,2022-07-02 12:00,구름많음,22,33
영동,2022-07-03 00:00,구름많음,21,32
영동,2022-07-03 12:00,흐림,21,32
영동,2022-07-04 00:00,흐림,22,31
영동,2022-07-04 12:00,흐리고 비,22,31
영동,2022-07-05 00:00,흐림,23,30
영동,2022-07-05 12:00,흐리고 비,23,30
영동,2022-07-06 00:00,흐리고 비,23,32
영동,2022-07-06 12:00,흐리고 비,23,32
영동,2022-07-07 00:00,흐리고 비,22,31
영동,2022-07-08 00:00,흐리고 비,22,31
영동,2022-07-09 00:00,흐림,23,32
광주,2022-07-02 00:00,구름많음,23,33
광주,2022-07-02 12:00,구름많음,23,33
광주,2022-07-03 00:00,구름많음,24,32
광주,2022-07-03 12:00,흐림,24,32
광주,2022-07-04 00:00,흐림,24,31
광주,2022-07-04 12:00,흐리고 비,24,31
광주,2022-07-05 00:00,흐리고 비,24,30
광주,2022-07-05 12:00,흐리고 비,24,30
광주,2022-07-06 00:00,흐리고 비,24,31
광주,2022-07-06 12:00,흐리고 비,24,31
광주,2022-07-07 00:00,흐리고 비,24,30
광주,2022-07-08 00:00,흐리고 비,24,31
광주,2022-07-09 00:00,흐림,24,32
목포,2022-07-02 00:00,구름많음,23,30
목포,2022-07-02 12:00,구름많음,23,30
목포,2022-07-03 00:00,구름많음,23,29
목포,2022-07-03 12:00,흐림,23,29
목포,2022-07-04 00:00,흐림,24,28
목포,2022-07-04 12:00,흐리고 비,24,28
목포,2022-07-05 00:00,흐리고 비,24,28
목포,2022-07-05 12:00,흐리고 비,24,28
목포,2022-07-06 00:00,흐리고 비,24,28
목포,2022-07-06 12:00,흐리고 비,24,28
목포,2022-07-07 00:00,흐리고 비,24,28
목포,2022-07-08 00:00,흐리고 비,24,29
목포,2022-07-09 00:00,흐림,24,29
여수,2022-07-02 00:00,구름많음,23,29
여수,2022-07-02 12:00,구름많음,23,29
여수,2022-07-03 00:00,구름많음,23,27
여수,2022-07-03 12:00,흐림,23,27
여수,2022-07-04 00:00,흐림,23,27
여수,2022-07-04 12:00,흐리고 비,23,27
여수,2022-07-05 00:00,흐리고 비,23,27
여수,2022-07-05 12:00,흐리고 비,23,27
여수,2022-07-06 00:00,흐리고 비,24,27
여수,2022-07-06 12:00,흐리고 비,24,27
여수,2022-07-07 00:00,흐리고 비,23,27
여수,2022-07-08 00:00,흐리고 비,23,28
여수,2022-07-09 00:00,흐림,24,28
순천,2022-07-02 00:00,구름많음,23,32
순천,2022-07-02 12:00,구름많음,23,32
순천,2022-07-03 00:00,구름많음,23,30
순천,2022-07-03 12:00,흐림,23,30
순천,2022-07-04 00:00,흐림,24,29
순천,2022-07-04 12:00,흐리고 비,24,29
순천,2022-07-05 00:00,흐리고 비,24,29
순천,2022-07-05 12:00,흐리고 비,24,29
순천,2022-07-06 00:00,흐리고 비,24,30
순천,2022-07-06 12:00,흐리고 비,24,30
순천,2022-07-07 00:00,흐리고 비,24,30
순천,2022-07-08 00:00,흐리고 비,24,31
순천,2022-07-09 00:00,흐림,25,32
광양,2022-07-02 00:00,구름많음,23,33
광양,2022-07-02 12:00,구름많음,23,33
광양,2022-07-03 00:00,구름많음,23,30
광양,2022-07-03 12:00,흐림,23,30
광양,2022-07-04 00:00,흐림,24,28
광양,2022-07-04 12:00,흐리고 비,24,28
광양,2022-07-05 00:00,흐리고 비,23,29
광양,2022-07-05 12:00,흐리고 비,23,29
광양,2022-07-06 00:00,흐리고 비,24,29
광양,2022-07-06 12:00,흐리고 비,24,29
광양,2022-07-07 00:00,흐리고 비,24,29
광양,2022-07-08 00:00,흐리고 비,24,30
광양,2022-07-09 00:00,흐림,25,30
나주,2022-07-02 00:00,구름많음,22,33
나주,2022-07-02 12:00,구름많음,22,33
나주,2022-07-03 00:00,구름많음,23,31
나주,2022-07-03 12:00,흐림,23,31
나주,2022-07-04 00:00,흐림,24,29
나주,2022-07-04 12:00,흐리고 비,24,29
나주,2022-07-05 00:00,흐리고 비,24,29
나주,2022-07-05 12:00,흐리고 비,24,29
나주,2022-07-06 00:00,흐리고 비,24,30
나주,2022-07-06 12:00,흐리고 비,24,30
나주,2022-07-07 00:00,흐리고 비,24,30
나주,2022-07-08 00:00,흐리고 비,24,31
나주,2022-07-09 00:00,흐림,24,32
전주,2022-07-02 00:00,구름많음,23,33
전주,2022-07-02 12:00,구름많음,23,33
전주,2022-07-03 00:00,구름많음,23,32
전주,2022-07-03 12:00,흐림,23,32
전주,2022-07-04 00:00,흐림,24,31
전주,2022-07-04 12:00,흐리고 비,24,31
전주,2022-07-05 00:00,흐리고 비,24,31
전주,2022-07-05 12:00,흐리고 비,24,31
전주,2022-07-06 00:00,흐리고 비,24,31
전주,2022-07-06 12:00,흐리고 비,24,31
전주,2022-07-07 00:00,흐리고 비,24,31
전주,2022-07-08 00:00,흐리고 비,24,31
전주,2022-07-09 00:00,흐림,24,32
군산,2022-07-02 00:00,구름많음,23,31
군산,2022-07-02 12:00,구름많음,23,31
군산,2022-07-03 00:00,구름많음,23,30
군산,2022-07-03 12:00,흐림,23,30
군산,2022-07-04 00:00,흐림,23,30
군산,2022-07-04 12:00,흐리고 비,23,30
군산,2022-07-05 00:00,흐리고 비,24,29
군산,2022-07-05 12:00,흐리고 비,24,29
군산,2022-07-06 00:00,흐리고 비,24,30
군산,2022-07-06 12:00,흐리고 비,24,30
군산,2022-07-07 00:00,흐리고 비,24,29
군산,2022-07-08 00:00,흐리고 비,24,30
군산,2022-07-09 00:00,흐림,24,30
정읍,2022-07-02 00:00,구름많음,22,32
정읍,2022-07-02 12:00,구름많음,22,32
정읍,2022-07-03 00:00,구름많음,23,31
정읍,2022-07-03 12:00,흐림,23,31
정읍,2022-07-04 00:00,흐림,24,30
정읍,2022-07-04 12:00,흐리고 비,24,30
정읍,2022-07-05 00:00,흐리고 비,24,31
정읍,2022-07-05 12:00,흐리고 비,24,31
정읍,2022-07-06 00:00,흐리고 비,24,31
정읍,2022-07-06 12:00,흐리고 비,24,31
정읍,2022-07-07 00:00,흐리고 비,24,31
정읍,2022-07-08 00:00,흐리고 비,24,31
정읍,2022-07-09 00:00,흐림,24,31
남원,2022-07-02 00:00,구름많음,21,33
남원,2022-07-02 12:00,구름많음,21,33
남원,2022-07-03 00:00,구름많음,23,31
남원,2022-07-03 12:00,흐림,23,31
남원,2022-07-04 00:00,흐림,23,30
남원,2022-07-04 12:00,흐리고 비,23,30
남원,2022-07-05 00:00,흐리고 비,24,30
남원,2022-07-05 12:00,흐리고 비,24,30
남원,2022-07-06 00:00,흐리고 비,24,31
남원,2022-07-06 12:00,흐리고 비,24,31
남원,2022-07-07 00:00,흐리고 비,23,30
남원,2022-07-08 00:00,흐리고 비,23,31
남원,2022-07-09 00:00,흐림,24,32
고창,2022-07-02 00:00,구름많음,22,32
고창,2022-07-02 12:00,구름많음,22,32
고창,2022-07-03 00:00,구름많음,23,30
고창,2022-07-03 12:00,흐림,23,30
고창,2022-07-04 00:00,흐림,24,30
고창,2022-07-04 12:00,흐리고 비,24,30
고창,2022-07-05 00:00,흐리고 비,24,29
고창,2022-07-05 12:00,흐리고 비,24,29
고창,2022-07-06 00:00,흐리고 비,24,30
고창,2022-07-06 12:00,흐리고 비,24,30
고창,2022-07-07 00:00,흐리고 비,24,30
고창,2022-07-08 00:00,흐리고 비,24,30
고창,2022-07-09 00:00,흐림,24,30
무주,2022-07-02 00:00,구름많음,22,34
무주,2022-07-02 12:00,구름많음,22,34
무주,2022-07-03 00:00,구름많음,21,31
무주,2022-07-03 12:00,흐림,21,31
무주,2022-07-04 00:00,흐림,22,31
무주,2022-07-04 12:00,흐리고 비,22,31
무주,2022-07-05 00:00,흐리고 비,23,29
무주,2022-07-05 12:00,흐리고 비,23,29
무주,2022-07-06 00:00,흐리고 비,23,31
무주,2022-07-06 12:00,흐리고 비,23,31
무주,2022-07-07 00:00,흐리고 비,22,30
무주,2022-07-08 00:00,흐리고 비,22,31
무주,2022-07-09 00:00,흐림,23,31
부산,2022-07-02 00:00,구름많음,23,29
부산,2022-07-02 12:00,구름많음,23,29
부산,2022-07-03 00:00,흐림,23,28
부산,2022-07-03 12:00,흐림,23,28
부산,2022-07-04 00:00,흐리고 비,24,28
부산,2022-07-04 12:00,흐리고 비,24,28
부산,2022-07-05 00:00,흐리고 비,23,27
부산,2022-07-05 12:00,흐리고 비,23,27
부산,2022-07-06 00:00,흐리고 비,23,28
부산,2022-07-06 12:00,흐리고 비,23,28
부산,2022-07-07 00:00,흐리고 비,23,27
부산,2022-07-08 00:00,흐림,23,28
부산,2022-07-09 00:00,흐림,24,28
울산,2022-07-02 00:00,구름많음,23,32
울산,2022-07-02 12:00,구름많음,23,32
울산,2022-07-03 00:00,흐림,24,31
울산,2022-07-03 12:00,흐림,24,31
울산,2022-07-04 00:00,흐리고 비,24,29
울산,2022-07-04 12:00,흐리고 비,24,29
울산,2022-07-05 00:00,흐리고 비,24,30
울산,2022-07-05 12:00,흐리고 비,24,30
울산,2022-07-06 00:00,흐리고 비,24,30
울산,2022-07-06 12:00,흐리고 비,24,30
울산,2022-07-07 00:00,흐리고 비,23,31
울산,2022-07-08 00:00,흐림,23,31
울산,2022-07-09 00:00,흐림,24,31
창원,2022-07-02 00:00,구름많음,22,31
창원,2022-07-02 12:00,구름많음,22,31
창원,2022-07-03 00:00,흐림,22,30
창원,2022-07-03 12:00,흐림,22,30
창원,2022-07-04 00:00,흐리고 비,23,29
창원,2022-07-04 12:00,흐리고 비,23,29
창원,2022-07-05 00:00,흐리고 비,23,28
창원,2022-07-05 12:00,흐리고 비,23,28
창원,2022-07-06 00:00,흐리고 비,23,29
창원,2022-07-06 12:00,흐리고 비,23,29
창원,2022-07-07 00:00,흐리고 비,23,29
창원,2022-07-08 00:00,흐림,23,30
창원,2022-07-09 00:00,흐림,24,30
진주,2022-07-02 00:00,구름많음,22,32
진주,2022-07-02 12:00,구름많음,22,32
진주,2022-07-03 00:00,흐림,22,30
진주,2022-07-03 12:00,흐림,22,30
진주,2022-07-04 00:00,흐리고 비,23,29
진주,2022-07-04 12:00,흐리고 비,23,29
진주,2022-07-05 00:00,흐리고 비,23,29
진주,2022-07-05 12:00,흐리고 비,23,29
진주,2022-07-06 00:00,흐리고 비,23,29
진주,2022-07-06 12:00,흐리고 비,23,29
진주,2022-07-07 00:00,흐리고 비,23,30
진주,2022-07-08 00:00,흐림,23,31
진주,2022-07-09 00:00,흐림,24,31
거창,2022-07-02 00:00,구름많음,20,32
거창,2022-07-02 12:00,구름많음,20,32
거창,2022-07-03 00:00,흐림,21,31
거창,2022-07-03 12:00,흐림,21,31
거창,2022-07-04 00:00,흐리고 비,22,29
거창,2022-07-04 12:00,흐리고 비,22,29
거창,2022-07-05 00:00,흐리고 비,22,30
거창,2022-07-05 12:00,흐리고 비,22,30
거창,2022-07-06 00:00,흐리고 비,22,30
거창,2022-07-06 12:00,흐리고 비,22,30
거창,2022-07-07 00:00,흐리고 비,22,30
거창,2022-07-08 00:00,흐림,22,31
거창,2022-07-09 00:00,흐림,22,31
통영,2022-07-02 00:00,구름많음,22,29
통영,2022-07-02 12:00,구름많음,22,29
통영,2022-07-03 00:00,흐림,22,28
통영,2022-07-03 12:00,흐림,22,28
통영,2022-07-04 00:00,흐리고 비,23,27
통영,2022-07-04 12:00,흐리고 비,23,27
통영,2022-07-05 00:00,흐리고 비,23,27
통영,2022-07-05 12:00,흐리고 비,23,27
통영,2022-07-06 00:00,흐리고 비,23,27
통영,2022-07-06 12:00,흐리고 비,23,27
통영,2022-07-07 00:00,흐리고 비,23,27
통영,2022-07-08 00:00,흐림,23,27
통영,2022-07-09 00:00,흐림,24,27
대구,2022-07-02 00:00,구름많음,24,35
대구,2022-07-02 12:00,구름많음,24,35
대구,2022-07-03 00:00,구름많음,24,34
대구,2022-07-03 12:00,흐림,24,34
대구,2022-07-04 00:00,흐림,24,31
대구,2022-07-04 12:00,흐리고 비,24,31
대구,2022-07-05 00:00,흐리고 비,25,31
대구,2022-07-05 12:00,흐리고 비,25,31
대구,2022-07-06 00:00,흐리고 비,24,32
대구,2022-07-06 12:00,흐리고 비,24,32
대구,2022-07-07 00:00,흐리고 비,24,32
대구,2022-07-08 00:00,흐림,24,33
대구,2022-07-09 00:00,흐림,25,32
안동,2022-07-02 00:00,구름많음,22,34
안동,2022-07-02 12:00,구름많음,22,34
안동,2022-07-03 00:00,구름많음,22,33
안동,2022-07-03 12:00,흐림,22,33
안동,2022-07-04 00:00,흐림,23,32
안동,2022-07-04 12:00,흐리고 비,23,32
안동,2022-07-05 00:00,흐리고 비,23,31
안동,2022-07-05 12:00,흐리고 비,23,31
안동,2022-07-06 00:00,흐리고 비,23,32
안동,2022-07-06 12:00,흐리고 비,23,32
안동,2022-07-07 00:00,흐리고 비,23,31
안동,2022-07-08 00:00,흐림,23,31
안동,2022-07-09 00:00,흐림,23,31
포항,2022-07-02 00:00,구름많음,25,33
포항,2022-07-02 12:00,구름많음,25,33
포항,2022-07-03 00:00,구름많음,25,33
포항,2022-07-03 12:00,흐림,25,33
포항,2022-07-04 00:00,흐림,25,31
포항,2022-07-04 12:00,흐리고 비,25,31
포항,2022-07-05 00:00,흐리고 비,24,31
포항,2022-07-05 12:00,흐리고 비,24,31
포항,2022-07-06 00:00,흐리고 비,25,32
포항,2022-07-06 12:00,흐리고 비,25,32
포항,2022-07-07 00:00,흐리고 비,25,31
포항,2022-07-08 00:00,흐림,24,31
포항,2022-07-09 00:00,흐림,25,31
경주,2022-07-02 00:00,구름많음,22,34
경주,2022-07-02 12:00,구름많음,22,34
경주,2022-07-03 00:00,구름많음,22,34
경주,2022-07-03 12:00,흐림,22,34
경주,2022-07-04 00:00,흐림,23,32
경주,2022-07-04 12:00,흐리고 비,23,32
경주,2022-07-05 00:00,흐리고 비,23,31
경주,2022-07-05 12:00,흐리고 비,23,31
경주,2022-07-06 00:00,흐리고 비,23,31
경주,2022-07-06 12:00,흐리고 비,23,31
경주,2022-07-07 00:00,흐리고 비,23,31
경주,2022-07-08 00:00,흐림,23,32
경주,2022-07-09 00:00,흐림,24,32
울진,2022-07-02 00:00,구름많음,21,29
울진,2022-07-02 12:00,구름많음,21,29
울진,2022-07-03 00:00,구름많음,22,29
울진,2022-07-03 12:00,흐림,22,29
울진,2022-07-04 00:00,흐림,23,28
울진,2022-07-04 12:00,흐리고 비,23,28
울진,2022-07-05 00:00,흐리고 비,22,28
울진,2022-07-05 12:00,흐리고 비,22,28
울진,2022-07-06 00:00,흐리고 비,22,28
울진,2022-07-06 12:00,흐리고 비,22,28
울진,2022-07-07 00:00,흐리고 비,22,27
울진,2022-07-08 00:00,흐림,22,27
울진,2022-07-09 00:00,흐림,22,27
울릉도,2022-07-02 00:00,구름많음,24,29
울릉도,2022-07-02 12:00,구름많음,24,29
울릉도,2022-07-03 00:00,구름많음,23,29
울릉도,2022-07-03 12:00,흐림,23,29
울릉도,2022-07-04 00:00,흐림,23,28
울릉도,2022-07-04 12:00,흐리고 비,23,28
울릉도,2022-07-05 00:00,흐리고 비,23,27
울릉도,2022-07-05 12:00,흐리고 비,23,27
울릉도,2022-07-06 00:00,흐리고 비,23,27
울릉도,2022-07-06 12:00,흐리고 비,23,27
울릉도,2022-07-07 00:00,흐리고 비,23,27
울릉도,2022-07-08 00:00,흐림,22,27
울릉도,2022-07-09 00:00,흐림,22,27
제주,2022-07-02 00:00,구름많음,23,31
제주,2022-07-02 12:00,구름많음,23,31
제주,2022-07-03 00:00,흐림,24,30
제주,2022-07-03 12:00,흐림,24,30
제주,2022-07-04 00:00,흐리고 비,24,29
제주,2022-07-04 12:00,흐리고 비,24,29
제주,2022-07-05 00:00,흐리고 비,24,30
제주,2022-07-05 12:00,흐리고 비,24,30
제주,2022-07-06 00:00,흐리고 비,25,30
제주,2022-07-06 12:00,흐리고 비,25,30
제주,2022-07-07 00:00,흐리고 비,25,30
제주,2022-07-08 00:00,흐림,25,30
제주,2022-07-09 00:00,흐림,24,31
서귀포,2022-07-02 00:00,구름많음,23,28
서귀포,2022-07-02 12:00,구름많음,23,28
서귀포,2022-07-03 00:00,흐림,24,28
서귀포,2022-07-03 12:00,흐림,24,28
서귀포,2022-07-04 00:00,흐리고 비,24,27
서귀포,2022-07-04 12:00,흐리고 비,24,27
서귀포,2022-07-05 00:00,흐리고 비,24,27
서귀포,2022-07-05 12:00,흐리고 비,24,27
서귀포,2022-07-06 00:00,흐리고 비,24,27
서귀포,2022-07-06 12:00,흐리고 비,24,27
서귀포,2022-07-07 00:00,흐리고 비,24,28
서귀포,2022-07-08 00:00,흐림,24,28
서귀포,2022-07-09 00:00,흐림,24,29
